"Web ID","Region of Incident","Reported Date","Reported Year","Reported Month","Number Dead","Number Missing","Total Dead and Missing","Number of survivors","Number of Female","Number of Male","Number of Children","Cause of death","Location Description","Information Source","Location","Information Reliability","Migrant Route","URL","UNSD Geographical Grouping"
"30912","Mediterranean","April 15, 2017","2017","Apr","5","","5","101","","","","Drowning","Off the coast of Qarabulli, Libya","IOM Libya","32.792138400000, 13.704410400000","Verified","Central Mediterranean","","Uncategorized"
"35431","Mediterranean","April 14, 2017","2017","Apr","1","","1","","","1","","Drowning","Body found in the coast of Benzú, Ceuta, Spain, near the border with Belyounech, Morocco","Asociación Pro Derechos Humanos de Andalucía","35.913489558500, -5.380811969897","Partially verified","Western Mediterranean","http://bit.ly/2tFF4lx","Uncategorized"
"30910","Southeast Asia","April 13, 2017","2017","Apr","1","","1","","1","","","Shot","Naf River, at Rakhine State, Myanmar-Bangladesh border","AFP","21.086501400000, 92.472490200000","Partially verified","","http://bit.ly/2oHMDrJ","Uncategorized"
"30911","Mediterranean","April 13, 2017","2017","Apr","","97","97","23","15","77","5","Drowning","Off the coast of Gargaresh, near Tripoli, Libya","IOM Libya","32.862970600000, 13.121579700000","Verified","Central Mediterranean","","Uncategorized"
"30909","Horn of Africa","April 12, 2017","2017","Apr","1","","1","","","","","Sickness and lack of access to medicines","Geherre, Djibouti","IOM Djibouti","11.740595600000, 42.209591800000","Verified","","","Eastern Africa"
"43867","Mediterranean","April 12, 2017","2017","Apr","","5","5","6","","","","Presumed drowning","Gibraltar Strait, off the coast of Spain","Asociación Pro Derechos Humanos de Andalucía, Caminando Fronteras","36.025882516454, -5.328865761719","Partially verified","Western Mediterranean","http://bit.ly/2hPZdka","Uncategorized"
"30907","Mediterranean","April 11, 2017","2017","Apr","3","","3","32","1","1","1","Unknown","Near Alborán, Spain","Armada Espagnola, Diario Sur","35.939594400000, -3.036476200000","Partially verified","Western Mediterranean","http://bit.ly/2p5kSua, https://twitter.com/Armada_esp, http://bit.ly/2ov5KVT","Uncategorized"
"30908","US-Mexico Border","April 11, 2017","2017","Apr","1","","1","","","1","","Drowning","Rio Bravo, near Reynosa, Tamaulipas, Mexico","El Linea Directa","26.052567600000, -98.366243400000","Partially verified","","http://bit.ly/2oC3e0q","Central America"
"30906","Central America","April 10, 2017","2017","Apr","1","","1","","","1","","Vehicle Accident","East of Coatzacoalcos, Tabasco, Mexico","Presencia","17.947379500000, -93.680033900000","Partially verified","","http://bit.ly/2oZmuVR","Central America"
"30905","Mediterranean","April 07, 2017","2017","Apr","1","","1","","","","","Unknown","Body recovered near Sabratha, Libya","IOM Libya","32.791284000000, 12.415264900000","Verified","Central Mediterranean","","Uncategorized"
"43934","US-Mexico Border","April 07, 2017","2017","Apr","1","","1","","","","","Unknown (skeletal remains)","Isabella Ranch, Brooks County, Texas","South Texas Human Rights Center","27.080544773867, -98.190307617188","Verified","","","Northern America"
"30904","Mediterranean","April 06, 2017","2017","Apr","1","","1","148","","","","Unknown","Unspecified location between North Africa and Italy","IOM Italy","35.099139200000, 13.048850200000","Verified","Central Mediterranean","","Uncategorized"
"30902","Europe","April 05, 2017","2017","Apr","1","","1","","","","","Unknown","Body found in train near Portogruaro, Italy","Prensa Latina","45.786324300000, 12.810688800000","Partially verified","","http://bit.ly/2nY3CEs","Southern Europe"
"30903","Central America","April 05, 2017","2017","Apr","1","","1","","","1","","Train Accident","Train tracks in Apaxco, Estado de Mexico, Mexico","UnoTV","19.980602700000, -99.184712800000","Partially verified","","http://bit.ly/2nKNUdS","Central America"
"43918","Central America","April 05, 2017","2017","Apr","1","","1","","","1","","Fell from train","Train tracks near La Bocatoma, Estación Sufragio, El Fuerte, Sinaloa, Mexico","Altavoz","26.068981988660, -108.785046610590","Partially verified","","http://bit.ly/2hM6aDH","Central America"
